153,1,194.2,99.7,44.0,34.3,50.0
155,1,199.3,101.7,48.7,15.2,50.2
157,1,200.5,98.1,47.2,10.3,50.2
159,1,200.8,97.9,46.2,9.6,50.3
161,1,201.0,97.8,45.3,7.0,50.3
163,1,199.0,95.8,44.7,0.0,50.4
165,1,202.8,93.7,47.5,8.9,50.5
167,1,203.3,93.3,43.4,2.3,50.5
169,1,202.5,93.4,41.2,0.0,50.5
171,1,202.1,93.6,41.7,0.4,50.4
173,1,206.5,90.4,47.0,14.1,50.5
175,1,208.9,93.4,45.2,10.1,50.5
177,1,208.1,95.3,43.5,0.4,50.4
179,1,212.8,93.8,47.9,0.3,50.5
181,1,215.4,93.2,50.3,18.4,50.6
183,1,215.6,88.9,51.4,12.0,50.8
185,1,212.9,87.4,46.1,13.2,50.9
187,1,211.6,86.2,43.6,0.8,50.9
189,1,213.4,86.1,43.9,1.9,50.9
191,1,213.7,86.3,44.9,4.3,51.0
191,2,445.5,220.6,84.2,12.3,70.2
193,1,215.4,86.8,44.4,14.3,51.0
193,2,448.7,220.6,85.9,12.6,70.0
195,1,217.3,87.0,44.1,0.1,50.9
195,2,448.5,221.0,83.7,14.2,69.8
197,1,221.6,90.3,44.8,10.4,50.8
197,2,450.7,220.2,85.5,10.1,69.9
199,1,222.9,86.8,47.0,0.0,50.8
199,2,451.8,219.2,85.9,7.9,70.3
201,1,223.3,85.4,47.9,3.5,50.9
201,2,452.1,218.2,85.1,14.3,70.7
203,1,225.2,84.2,47.0,5.2,50.9
203,2,452.2,218.8,84.2,19.5,70.3
205,1,224.1,84.2,44.8,1.0,50.9
205,2,454.2,218.4,83.7,11.7,71.0
207,1,224.7,80.3,46.1,1.5,50.9
207,2,456.9,216.3,85.4,7.0,72.3
209,1,224.8,77.8,47.7,7.0,51.2
209,2,455.9,215.2,85.1,5.6,74.2
211,1,224.9,76.8,49.6,6.5,51.4
211,2,455.3,215.5,85.2,15.8,74.6
213,1,224.3,77.8,45.8,17.4,51.3
213,2,455.8,215.3,80.7,10.2,74.5
215,1,225.6,80.1,43.3,16.1,51.3
215,2,458.2,217.2,82.3,4.2,74.6
217,1,229.7,84.8,44.3,4.4,51.3
217,2,459.4,216.0,83.8,8.8,74.6
219,1,231.5,80.0,47.9,18.1,51.3
219,2,462.6,215.8,87.0,3.5,74.7
221,1,232.2,78.1,48.8,8.3,51.3
221,2,464.0,215.8,85.1,7.0,74.8
223,1,232.7,78.8,47.4,1.3,51.2
223,2,465.4,215.8,85.2,0.4,74.9
225,1,233.6,74.5,47.4,2.0,51.2
225,2,465.2,215.9,82.6,10.3,74.9
227,1,233.5,71.8,47.7,8.1,51.3
227,2,469.2,213.8,87.3,4.3,75.1
229,1,234.7,71.2,49.1,4.6,51.4
229,2,469.9,213.5,86.0,1.9,75.1
231,1,235.2,70.9,50.2,6.9,51.6
231,2,470.1,213.3,58.5,3.9,74.3
233,1,236.3,72.2,47.0,0.4,51.7
233,2,471.4,213.0,60.4,0.3,73.4
235,1,239.0,75.3,44.4,20.6,51.7
235,2,473.2,211.9,61.7,2.4,72.7
237,1,240.9,74.0,46.6,9.3,51.7
237,2,473.2,211.5,59.1,2.1,71.9
239,1,243.0,71.8,50.2,7.4,51.8
239,2,474.8,211.7,58.8,0.3,71.1
241,1,243.7,71.0,51.0,13.7,51.9
241,2,475.3,211.8,56.3,4.9,70.2
243,1,243.9,73.2,45.6,7.8,51.8
243,2,478.2,211.5,56.6,7.9,69.3
245,1,243.0,70.4,46.1,4.0,51.9
245,2,479.2,210.4,55.4,9.5,68.4
247,1,242.6,66.3,48.3,4.6,51.9
247,2,483.8,211.5,58.2,15.1,67.6
249,1,242.8,64.1,49.4,4.0,52.0
249,2,484.8,212.4,58.7,15.5,66.7
